slug,name,url
entertainment-sports-leisure-law,"Entertainment, Sports and Leisure Law",https://lawyers.findlaw.com/entertainment-sports-leisure-law/
environmental-law,Environmental Law,https://lawyers.findlaw.com/environmental-law/
ethics-professional-responsibility,Ethics and Professional Responsibility,https://lawyers.findlaw.com/ethics-professional-responsibility/
gaming-law,Gaming,https://lawyers.findlaw.com/gaming-law/
government-agencies-programs,Government Agencies and Programs,https://lawyers.findlaw.com/government-agencies-programs/
international-law,International Law,https://lawyers.findlaw.com/international-law/
internet-cyberspace,Internet,https://lawyers.findlaw.com/internet-cyberspace/
military-law,Military,https://lawyers.findlaw.com/military-law/
natural-resources-law,Natural Resources,https://lawyers.findlaw.com/natural-resources-law/
science-technology-law,Science and Technology Law,https://lawyers.findlaw.com/science-technology-law/
state-local-municipal-law,"State, Local and Municipal Law",https://lawyers.findlaw.com/state-local-municipal-law/
veterans-benefit,Veteran's Benefits,https://lawyers.findlaw.com/veterans-benefit/
